ImageId,Label
1,3
2,1
3,3
4,8
5,0
6,1
7,3
8,7
9,2
10,8
11,7
12,1
13,7
14,2
15,4
16,6
17,2
18,2
19,3
20,4
21,6
22,7
23,3
24,0
25,9
26,5
27,9
28,4
29,7
30,1
31,6
32,7
33,2
34,4
35,3
36,4
37,7
38,1
39,9
40,6
41,3
42,8
43,9
44,0
45,9
46,7
47,8
48,7
49,5
50,3
51,0
52,6
53,3
54,9
55,2
56,0
57,6
58,9
59,4
60,5
61,1
62,5
63,7
64,9
65,1
66,1
67,7
68,2
69,9
70,1
71,4
72,5
73,8
74,5
75,6
76,8
77,5
78,6
79,6
80,7
81,7
82,7
83,6
84,5
85,1
86,8
87,2
88,7
89,8
90,7
91,8
92,7
93,2
94,7
95,4
96,4
97,4
98,9
99,1
100,6
101,4
102,1
103,7
104,5
105,0
106,2
107,3
108,3
109,7
110,3
111,2
112,0
113,8
114,3
115,9
116,0
117,3
118,3
119,9
120,3
121,3
122,0
123,9
124,7
125,2
126,6
127,7
128,7
129,1
130,8
131,1
132,9
133,8
134,7
135,4
136,2
137,3
138,2
139,4
140,0
141,3
142,9
143,8
144,1
145,7
146,2
147,4
148,2
149,6
150,8
151,6
152,6
153,0
154,6
155,8
156,1
157,0
158,9
159,2
160,5
161,4
162,9
163,0
164,4
165,9
166,0
167,9
168,4
169,4
170,9
171,2
172,7
173,0
174,7
175,3
176,0
177,7
178,4
179,9
180,1
181,4
182,6
183,9
184,2
185,2
186,9
187,7
188,3
189,4
190,3
191,8
192,0
193,7
194,3
195,9
196,7
197,2
198,9
199,2
200,0
201,8
202,1
203,7
204,2
205,3
206,4
207,7
208,6
209,0
210,7
211,2
212,3
213,5
214,9
215,6
216,9
217,0
218,8
219,3
220,6
221,6
222,9
223,9
224,9
225,6
226,9
227,5
228,9
229,1
230,5
231,1
232,3
233,4
234,7
235,6
236,6
237,3
238,4
239,5
240,4
241,6
242,9
243,4
244,1
245,8
246,3
247,9
248,5
249,6
250,1
251,4
252,1
253,4
254,4
255,1
256,5
257,7
258,8
259,7
260,9
261,0
262,6
263,5
264,2
265,1
266,8
267,9
268,9
269,9
270,0
271,8
272,6
273,1
274,4
275,6
276,6
277,5
278,2
279,1
280,4
281,3
282,3
283,5
284,8
285,8
286,2
287,4
288,4
289,3
290,5
291,4
292,9
293,9
294,2
295,6
296,9
297,1
298,0
299,0
300,6
301,7
302,7
303,8
304,5
305,4
306,0
307,4
308,5
309,0
310,5
311,7
312,1
313,0
314,6
315,6
316,0
317,6
318,1
319,2
320,1
321,8
322,1
323,6
324,0
325,6
326,6
327,9
328,0
329,3
330,1
331,1
332,3
333,2
334,1
335,2
336,7
337,2
338,5
339,0
340,1
341,1
342,6
343,0
344,0
345,7
346,7
347,0
348,8
349,1
350,7
351,8
352,8
353,7
354,2
355,6
356,7
357,5
358,8
359,8
360,4
361,7
362,2
363,4
364,5
365,9
366,0
367,8
368,2
369,1
370,5
371,9
372,3
373,5
374,4
375,2
376,5
377,3
378,2
379,4
380,5
381,0
382,1
383,7
384,9
385,0
386,8
387,4
388,2
389,1
390,7
391,1
392,6
393,6
394,0
395,2
396,2
397,0
398,1
399,9
400,6
401,3
402,1
403,8
404,3
405,6
406,9
407,0
408,5
409,5
410,1
411,2
412,8
413,9
414,1
415,8
416,6
417,1
418,9
419,1
420,4
421,4
422,5
423,1
424,9
425,3
426,7
427,1
428,4
429,5
430,4
431,3
432,9
433,4
434,1
435,8
436,7
437,3
438,7
439,4
440,9
441,2
442,1
443,0
444,0
445,0
446,7
447,5
448,0
449,5
450,9
451,6
452,0
453,0
454,5
455,8
456,0
457,9
458,1
459,8
460,1
461,5
462,0
